,index,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
0,0,FRESHII,Routine,10/31/2018,96,2414,VICTORY PARK,,75219,2414 VICTORY PARK LN,10/1/18,FY2019,32.7879479,-96.80916429999999,Restaurant,4.1,100
1,134,KROGER,Routine,04/27/2017,100,4142,CEDAR SPRINGS,,75219,4142 CEDAR SPRINGS RD,04/1/17,FY2017,32.8133582,-96.81214089999999,,,
2,159,ZOE'S KITCHEN,Routine,05/11/2017,98,3878,OAK LAWN,#314,75219,3878 OAK LAWN #314,05/1/17,FY2017,32.8154852,-96.8006898,Restaurant,4.2,335
3,171,MANSION MAIN BAR,Routine,10/10/2017,99,2821,TURTLE CREEK,,75219,2821 TURTLE CREEK BLVD,10/1/17,FY2018,32.8041143,-96.8073446,Bar,4.6,433
4,190,PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,Routine,05/23/2019,96,2827,THROCKMORTON,,75219,2827 THROCKMORTON ST,05/1/19,FY2019,32.810203,-96.81312349999999,,,
5,217,MEDRANO ELEMENTARY SCHOOL,Routine,11/04/2019,100,2221,LUCAS,,75219,2221 LUCAS DR,11/1/19,FY2020,32.8087781,-96.8265759,,,
6,241,SILVERADO SENIOR LIVING-TURTLE CREEK,Routine,06/13/2019,97,3611,DICKASON,,75219,3611 DICKASON AVE,06/1/19,FY2019,32.806954,-96.8082663,,,
7,372,SAL'S PIZZA,Routine,06/12/2019,90,2525,WYCLIFF,#116,75219,2525 WYCLIFF AVE #116,06/1/19,FY2019,32.8110156,-96.81914789999999,Restaurant,4,233
8,395,SCOTTISH RITE HOSPITAL SERVERY,Routine,05/30/2019,96,2222,WELBURN,,75219,2222 WELBURN ST,05/1/19,FY2019,32.8022656,-96.81387550000001,,,
9,414,MURPHYS DELI,Routine,06/13/2019,90,2323,VICTORY,#150,75219,2323 VICTORY AVE #150,06/1/19,FY2019,32.7855931,-96.81061559999999,Restaurant,1,1
